studio_name,year,quarter,oscontribution_score
AI/ML Studio,2020,Q1,0.0
AI/ML Studio,2020,Q2,0.0
AI/ML Studio,2020,Q3,0.0
AI/ML Studio,2020,Q4,0.0
AI/ML Studio,2021,Q1,0.0
AI/ML Studio,2021,Q2,0.0
AI/ML Studio,2021,Q3,12.0
AI/ML Studio,2021,Q4,12.0
AI/ML Studio,2022,Q1,0.0
Account Management,2020,Q2,0.0
Account Management,2022,Q1,82.5
Agile Studio,2021,Q2,0.0
Agile Studio,2021,Q3,0.0
Agile Studio,2021,Q4,0.0
Agile Studio,2022,Q1,0.0
DevOps Studio,2019,Q1,0.0
DevOps Studio,2019,Q2,0.0
DevOps Studio,2019,Q3,0.0
DevOps Studio,2019,Q4,0.0
DevOps Studio,2020,Q1,6.0
DevOps Studio,2020,Q2,0.0
DevOps Studio,2020,Q3,6.0
DevOps Studio,2020,Q4,6.0
DevOps Studio,2021,Q1,5.0
DevOps Studio,2021,Q2,24.0
DevOps Studio,2021,Q3,144.0
DevOps Studio,2021,Q4,144.0
DevOps Studio,2022,Q1,528.0
Engineering Operations,2016,Q2,0.0
Engineering Operations,2018,Q1,0.0
Engineering Operations,2019,Q1,0.0
Engineering Operations,2019,Q2,0.0
Engineering Operations,2019,Q3,0.0
Engineering Operations,2019,Q4,0.0
Engineering Operations,2020,Q1,0.0
Engineering Operations,2021,Q1,0.0
Engineering Operations,2022,Q1,30.0
Frontend Studio,2019,Q1,0.0
Frontend Studio,2019,Q2,0.0
Frontend Studio,2019,Q3,0.0
Frontend Studio,2019,Q4,0.0
Frontend Studio,2020,Q2,0.0
Frontend Studio,2020,Q3,0.0
Frontend Studio,2020,Q4,0.0
Frontend Studio,2021,Q2,0.0
Frontend Studio,2021,Q3,0.0
Frontend Studio,2021,Q4,0.0
Frontend Studio,2022,Q1,36.0
Interns,2022,Q1,0.0
Java Studio,2015,Q2,0.0
Java Studio,2015,Q3,0.0
Java Studio,2015,Q4,0.0
Java Studio,2016,Q1,0.0
Java Studio,2016,Q2,0.0
Java Studio,2016,Q3,0.0
Java Studio,2016,Q4,0.0
Java Studio,2017,Q1,0.0
Java Studio,2017,Q3,0.0
Java Studio,2017,Q4,0.0
Java Studio,2018,Q2,0.0
Java Studio,2018,Q3,0.0
Java Studio,2018,Q4,0.0
Java Studio,2019,Q1,0.0
Java Studio,2019,Q2,0.0
Java Studio,2019,Q3,0.0
Java Studio,2019,Q4,0.0
Java Studio,2020,Q1,0.0
Java Studio,2020,Q2,0.0
Java Studio,2020,Q3,0.0
Java Studio,2020,Q4,0.0
Java Studio,2021,Q1,0.0
Java Studio,2021,Q2,6.0
Java Studio,2021,Q3,0.0
Java Studio,2021,Q4,0.0
Java Studio,2022,Q1,0.0
Learning and Development,2021,Q2,0.0
Learning and Development,2021,Q3,0.0
Learning and Development,2021,Q4,0.0
Lightbend CoE,2014,Q1,0.0
Lightbend CoE,2014,Q2,0.0
Lightbend CoE,2014,Q3,0.0
Lightbend CoE,2014,Q4,0.0
Lightbend CoE,2015,Q1,0.0
Lightbend CoE,2015,Q2,0.0
Lightbend CoE,2015,Q3,0.0
Lightbend CoE,2015,Q4,0.0
Lightbend CoE,2016,Q1,30.0
Lightbend CoE,2016,Q2,0.0
Lightbend CoE,2016,Q3,0.0
Lightbend CoE,2016,Q4,0.0
Lightbend CoE,2017,Q1,0.0
Lightbend CoE,2017,Q2,0.0
Lightbend CoE,2017,Q3,0.0
Lightbend CoE,2017,Q4,0.0
Lightbend CoE,2018,Q1,0.0
Lightbend CoE,2018,Q2,0.0
Lightbend CoE,2019,Q1,0.0
Lightbend CoE,2019,Q2,0.0
Lightbend CoE,2019,Q3,0.0
Lightbend CoE,2019,Q4,0.0
Lightbend CoE,2020,Q1,0.0
Lightbend CoE,2020,Q2,0.0
Lightbend CoE,2020,Q3,0.0
Lightbend CoE,2020,Q4,0.0
Lightbend CoE,2021,Q1,0.0
Lightbend CoE,2021,Q2,0.0
Lightbend CoE,2021,Q3,0.0
Lightbend CoE,2021,Q4,0.0
Management,2010,Q2,0.0
Management,2010,Q3,0.0
Management,2010,Q4,0.0
Management,2011,Q1,0.0
Management,2011,Q2,0.0
Management,2011,Q3,0.0
Management,2011,Q4,0.0
Management,2012,Q1,0.0
Management,2012,Q2,0.0
Management,2012,Q3,0.0
Management,2012,Q4,0.0
Management,2013,Q1,0.0
Management,2013,Q2,0.0
Management,2013,Q3,0.0
Management,2013,Q4,0.0
Management,2014,Q1,0.0
Management,2014,Q2,0.0
Management,2014,Q3,0.0
Management,2014,Q4,0.0
Management,2015,Q2,0.0
Management,2015,Q3,0.0
Management,2015,Q4,0.0
Management,2016,Q1,0.0
Management,2016,Q2,0.0
Management,2016,Q3,0.0
Management,2016,Q4,0.0
Management,2017,Q1,0.0
Management,2017,Q2,0.0
Management,2017,Q3,0.0
Management,2017,Q4,0.0
Management,2018,Q1,0.0
Management,2018,Q2,0.0
Management,2018,Q3,0.0
Management,2018,Q4,0.0
Management,2019,Q1,0.0
Management,2019,Q2,0.0
Management,2019,Q3,0.0
Management,2019,Q4,0.0
Management,2020,Q1,0.0
Management,2020,Q2,0.0
Management,2020,Q3,0.0
Management,2020,Q4,0.0
Management,2021,Q1,0.0
Management,2022,Q1,0.0
Marketing,2018,Q2,0.0
Marketing,2018,Q3,0.0
Marketing,2018,Q4,0.0
Marketing,2019,Q1,0.0
Marketing,2019,Q2,0.0
Marketing,2019,Q3,0.0
Marketing,2019,Q4,0.0
Marketing,2020,Q1,0.0
Marketing,2020,Q2,0.0
Marketing,2020,Q3,0.0
Marketing,2020,Q4,0.0
Marketing,2021,Q1,0.0
Marketing,2021,Q2,0.0
Marketing,2021,Q3,0.0
Marketing,2021,Q4,0.0
Rust Studio,2019,Q1,0.0
Rust Studio,2019,Q2,30.0
Rust Studio,2019,Q3,30.0
Rust Studio,2019,Q4,30.0
Rust Studio,2020,Q1,30.0
Rust Studio,2020,Q2,30.0
Rust Studio,2020,Q3,90.0
Rust Studio,2020,Q4,90.0
Rust Studio,2021,Q1,60.0
Rust Studio,2021,Q2,0.0
Rust Studio,2021,Q3,0.0
Rust Studio,2021,Q4,0.0
Rust Studio,2022,Q1,0.0
Scala Studio,2014,Q1,0.0
Scala Studio,2014,Q2,0.0
Scala Studio,2014,Q3,0.0
Scala Studio,2014,Q4,0.0
Scala Studio,2015,Q2,0.0
Scala Studio,2015,Q3,0.0
Scala Studio,2015,Q4,0.0
Scala Studio,2016,Q1,0.0
Scala Studio,2016,Q2,0.0
Scala Studio,2016,Q3,0.0
Scala Studio,2016,Q4,0.0
Scala Studio,2017,Q1,0.0
Scala Studio,2017,Q2,0.0
Scala Studio,2017,Q3,0.0
Scala Studio,2017,Q4,0.0
Scala Studio,2018,Q1,0.0
Scala Studio,2018,Q2,0.0
Scala Studio,2018,Q3,0.0
Scala Studio,2018,Q4,0.0
Scala Studio,2019,Q1,0.0
Scala Studio,2019,Q2,0.0
Scala Studio,2019,Q3,0.0
Scala Studio,2019,Q4,0.0
Scala Studio,2020,Q1,0.0
Scala Studio,2020,Q2,12.0
Scala Studio,2020,Q3,18.0
Scala Studio,2020,Q4,18.0
Scala Studio,2021,Q1,0.0
Scala Studio,2021,Q2,18.0
Scala Studio,2021,Q3,6.0
Scala Studio,2021,Q4,6.0
Scala Studio,2022,Q1,138.0
Testing Automation Studio,2016,Q1,0.0
Testing Automation Studio,2017,Q1,0.0
Testing Automation Studio,2018,Q1,0.0
Testing Automation Studio,2018,Q2,0.0
Testing Automation Studio,2018,Q3,0.0
Testing Automation Studio,2018,Q4,0.0
Testing Automation Studio,2019,Q2,0.0
Testing Automation Studio,2019,Q3,0.0
Testing Automation Studio,2019,Q4,0.0
Testing Automation Studio,2020,Q1,0.0
Testing Automation Studio,2020,Q2,0.0
Testing Automation Studio,2020,Q3,0.0
Testing Automation Studio,2020,Q4,0.0
Testing Automation Studio,2021,Q1,0.0
Testing Automation Studio,2021,Q2,0.0
Testing Automation Studio,2021,Q3,0.0
Testing Automation Studio,2021,Q4,0.0
Testing Automation Studio,2022,Q1,0.0
